episode,attacker_reward,defender_reward,epsilon,hack_probability
566,1.0,1,0.058889873488111255,0
567,0.25,1,0.058595424120670696,0
568,-1.0,1,0.05830244700006734,0
569,-1.0,1,0.058010934765067,0
570,-1.0,1,0.05772088009124167,0
571,0.5,1,0.05743227569078546,0
572,-1.0,1,0.05714511431233153,0
573,0.33333333333333326,1,0.05685938874076987,0
574,-1.0,1,0.056575091797066025,0
575,3.125,-2,0.056292216338080694,0
576,-1.0,1,0.05601075525639029,0
577,-1.0,1,0.05573070148010834,0
578,-1.0,1,0.0554520479727078,0
579,-1.0,1,0.05517478773284426,0
580,-1.0,1,0.05489891379418004,0
581,1.0,1,0.05462441922520914,0
582,1.0,1,0.0543512971290831,0
583,0.19999999999999996,1,0.05407954064343768,0
584,-1.0,1,0.05380914294022049,0
585,4.0,-2,0.05354009722551939,0
586,-1.0,1,0.05327239673939179,0
587,-1.0,1,0.053006034755694834,0
588,-1.0,1,0.052741004581916356,0
589,3.333333333333333,-2,0.052477299559006776,0
590,1.0,1,0.052214913061211746,0
591,-1.0,1,0.05195383849590569,0
592,-1.0,1,0.05169406930342616,0
593,1.0,1,0.05143559895690903,0
594,-1.0,1,0.051178420962124486,0
595,3.25,-2,0.05092252885731386,0
596,-1.0,1,0.05066791621302729,0
597,-1.0,1,0.05041457663196215,0
598,0.33333333333333326,1,0.050162503748802344,0
599,0.19999999999999996,1,0.049911691230058335,0
600,1.0,1,0.04966213277390804,0
601,2.7,-2,0.0494138221100385,0
602,-1.0,1,0.04916675299948831,0
603,-1.0,1,0.04892091923449087,0
604,1.0,1,0.04867631463831842,0
605,-1.0,1,0.048432933065126825,0
606,0.125,1,0.048190768399801194,0
607,-1.0,1,0.04794981455780219,0
608,3.5,-2,0.04771006548501318,0
609,3.2,-2,0.047471515157588115,0
610,-1.0,1,0.047234157581800176,0
611,-1.0,1,0.046997986793891174,0
612,0.5,1,0.04676299685992172,0
613,-1.0,1,0.04652918187562211,0
614,-1.0,1,0.046296535966244,0
615,-1.0,1,0.046065053286412784,0
616,-1.0,1,0.04583472801998072,0
617,0.33333333333333326,1,0.045605554379880814,0
618,0.07692307692307687,1,0.04537752660798141,0
619,2.3666666666666667,-2,0.0451506389749415,0
620,-1.0,1,0.044924885780066794,0
621,-1.0,1,0.04470026135116646,0
622,-1.0,1,0.04447676004441063,0
623,1.0,1,0.04425437624418858,0
624,-1.0,1,0.04403310436296763,0
625,-1.0,1,0.043812938841152796,0
626,-1.0,1,0.04359387414694703,0
627,0.25,1,0.043375904776212296,0
628,-1.0,1,0.043159025252331236,0
629,1.0,1,0.04294323012606958,0
630,-1.0,1,0.04272851397543923,0
631,-1.0,1,0.04251487140556204,0
632,4.0,-2,0.04230229704853423,0
633,0.5,1,0.04209078556329156,0
634,-1.0,1,0.0418803316354751,0
635,-1.0,1,0.041670929977297724,0
636,-1.0,1,0.04146257532741124,0
637,-1.0,1,0.04125526245077418,0
638,-1.0,1,0.04104898613852031,0
639,1.0,1,0.04084374120782771,0
640,-1.0,1,0.04063952250178857,0
641,-1.0,1,0.04043632488927963,0
642,-1.0,1,0.04023414326483323,0
643,-1.0,1,0.040032972548509065,0
644,-1.0,1,0.03983280768576652,0
645,1.0,1,0.03963364364733769,0
646,-1.0,1,0.039435475429100995,0
647,-1.0,1,0.03923829805195549,0
648,1.0,1,0.03904210656169572,0
649,-1.0,1,0.03884689602888724,0
650,3.166666666666667,-2,0.0386526615487428,0
651,3.25,-2,0.03845939824099909,0
652,2.375,-2,0.03826710124979409,0
653,-1.0,1,0.038075765743545126,0
654,-1.0,1,0.0378853869148274,0
655,-1.0,1,0.03769595998025326,0
656,0.25,1,0.03750748018035199,0
657,-1.0,1,0.037319942779450235,0
658,0.33333333333333326,1,0.037133343065552986,0
659,-1.0,1,0.03694767635022522,0
660,0.33333333333333326,1,0.036762937968474095,0
661,-1.0,1,0.03657912327863173,0
662,-1.0,1,0.036396227662238566,0
663,-1.0,1,0.03621424652392737,0
664,-1.0,1,0.036033175291307735,0
665,-1.0,1,0.03585300941485119,0
666,-1.0,1,0.035673744367776934,0
667,-1.0,1,0.03549537564593805,0
668,0.33333333333333326,1,0.035317898767708356,0
669,-1.0,1,0.03514130927386981,0
670,-1.0,1,0.03496560272750046,0
671,-1.0,1,0.03479077471386296,0
672,3.166666666666667,-2,0.03461682084029365,0
673,-1.0,1,0.034443736736092176,0
674,-1.0,1,0.034271518052411715,0
675,-1.0,1,0.034100160462149656,0
676,-1.0,1,0.03392965965983891,0
677,1.0,1,0.033760011361539714,0
